COFs_name,LCD(脜),PLD(脜),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,N_CH4(mol/kg),D_CH4(10^-8 m2/s),P_CH4(10^4Barrer),,,
21354N2.cif,22.4453,21.72518,0.327065,2568.64,2.74593,0.960359,0,0.692307692,0,0.307692308,0,0,0,0,0,129,0.895833333,0.301886792,0.917735849,1.715347872,70.89078719,114.0838687,,,
21670N2.cif,5.85394,4.40977,0.679122,2056.1,0.997376,0.542496,0,0.5,0.071428571,0.285714286,0.142857143,2,0,0,0,67,0.797619048,0.428571429,1.36,0.471921648,1.36398479,0.708334374,,,
21410N2.cif,22.50124,22.18022,0.457288,2811.55,1.65165,0.714231,0,0.471910112,0.45505618,0.039325843,0.033707865,1.166666667,0,0,0,168,0.5,0.073033708,0.235505618,0.948645325,14.42146133,13.34615586,,,
21351N2.cif,22.55319,21.73551,0.242335,3505.5,3.72121,0.960275,0,0.666666667,0.175438596,0.140350877,0,0,0,0,0,125,0.822368421,0.140350877,0.426666667,2.211537165,74.79353351,114.9700207,,,
21660N2.cif,7.73885,7.27798,0.973023,1368.83,0.548332,0.46244,0,0.588235294,0.235294118,0.117647059,0,0,0.058823529,0,0,46,0.766666667,0.117647059,0.357647059,0.530289682,5.510232381,3.927137801,,,
21531N2.cif,10.88939,10.65465,0.963001,1297.86,0.624735,0.652104,0,0.541176471,0.376470588,0.047058824,0.035294118,1.333333333,0,0,0,117,0.635869565,0.081871345,0.262923977,0.788908068,3.83529697,5.67523106,,,
21400N2.cif,27.19937,27.05362,0.412821,2377.29,1.87423,0.730464,0,0.56,0.4,0.04,0,0,0,0,0,106,0.630952381,0.04,0.1216,0.967385229,8.183042771,7.129998233,,,
22000N2.cif,30.11354,30.0174,0.562012,1617.69,1.36812,0.763372,0,0.571428571,0.19047619,0.047619048,0,0,0,0.19047619,0,94,0.652777778,0.238095238,0.902857143,0.818817903,7.320690286,7.681317714,,,
21480N2.cif,13.01052,12.37536,0.841932,1282.29,0.756165,0.463761,0,0.410714286,0.285714286,0.071428571,0.071428571,1,0,0.160714286,0,58,0.420289855,0.303571429,1.1025,0.341198913,5.921463827,2.3562562,,,
21353N2.cif,22.44138,21.73096,0.279365,3002.87,3.21322,0.960237,0,0.679245283,0,0.301886792,0,0,0,0,0,129,0.895833333,0.301886792,0.917735849,2.01801844,66.9711058,108.2873142,,,
21391N2.cif,38.85647,38.68679,0.356172,2256.46,2.29075,0.762353,0,0.482758621,0.379310345,0.068965517,0.068965517,1,0,0,0,97,0.577380952,0.137931034,0.446896552,1.028170198,13.51315325,11.26813789,,,
21360N2.cif,10.60356,10.19245,0.771789,1307.54,0.785267,0.470195,0,0.406779661,0.430508475,0.122033898,0.040677966,3,0,0,0,96,0.4,0.162711864,0.510915254,0.486236275,2.964626507,1.562458477,,,
21460N2.cif,19.34628,19.09254,0.585014,2048.65,1.21112,0.597171,0,0.5,0.384615385,0.038461538,0.076923077,0.5,0,0,0,94,0.602564103,0.115384615,0.381538462,0.57338066,6.846190407,4.096109268,,,
21440N2.cif,17.07582,16.40166,0.541895,2305.57,1.31513,0.68175,0,0.555555556,0.416666667,0.027777778,0,0,0,0,0,148,0.616666667,0.027777778,0.084444444,0.811987114,3.562792589,3.192232528,,,
21620N2.cif,21.60969,21.36547,0.524019,2098.4,1.3706,0.672771,0,0.526315789,0.421052632,0.052631579,0,0,0,0,0,70,0.583333333,0.052631579,0.16,0.774632754,8.08258729,6.592879033,,,
21392N2.cif,37.30939,37.1392,0.403371,1968.93,1.9989,0.750816,0,0.482758621,0.344827586,0.068965517,0.068965517,1,0,0.034482759,0,97,0.577380952,0.172413793,0.555862069,0.919142297,16.57662795,13.78261686,,,
21382N2.cif,11.44724,10.9067,0.799004,1640.75,0.788857,0.620044,0,0.557142857,0.342857143,0.057142857,0,0,0.042857143,0,0,53,0.679487179,0.057142857,0.173714286,0.69299224,5.76523761,5.911961488,,,
21352N2.cif,22.22526,21.73638,0.269598,3103.49,3.3119,0.967703,0,0.721311475,0.131147541,0.131147541,0,0,0,0,0,153,0.869318182,0.131147541,0.398688525,2.155099792,59.69369212,100.2464797,,,
21650N2.cif,8.50883,7.98145,1.44448,592.334,0.32215,0.355472,0,0.60952381,0.076190476,0.152380952,0.076190476,2,0,0.076190476,0,105,0.8203125,0.301886792,1.018867925,0.259367151,4.620543861,1.83797479,,,
21661N2.cif,13.4719,13.35864,0.766248,1565.79,0.827539,0.604466,0,0.575342466,0.287671233,0.095890411,0,0,0.04109589,0,0,60.5,0.720238095,0.095890411,0.291506849,0.612680792,6.258695481,5.304859286,,,
21420N2.cif,8.3785,7.56134,0.795186,1476.43,0.739801,0.480856,0,0.555555556,0.361111111,0.083333333,0,0,0,0,0,103,0.64375,0.083333333,0.253333333,0.542281111,3.159091117,1.956522944,,,
21330N2.cif,29.41365,29.21423,0.427291,2122.8,1.85092,0.733368,0,0.523809524,0.333333333,0.095238095,0.047619048,2,0,0,0,85,0.643939394,0.142857143,0.453333333,0.904633662,6.995148468,5.922839072,,,
