COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,N_CO2(mol/kg),D_CO2(10^-8 m2/s),P_CO2(10^4 Barrer),,
21350N2.cif,22.22645,21.73463,0.312943,2641.26,2.8356,0.966965,0,0.666666667,0.060606061,0.242424242,0,0,0,0,0,77,0.875,0.242424242,0.736969697,14.11897697,3.672403948,46.86452533,,
21352N2.cif,22.22526,21.73638,0.269598,3103.49,3.3119,0.967703,0,0.721311475,0.131147541,0.131147541,0,0,0,0,0,153,0.869318182,0.131147541,0.398688525,15.5562179,3.64454026,44.17942651,,
21540N3.cif,41.14343,34.79952,0.0516319,8523.58,18.8391,0.980095,1,0.543859649,0.421052632,0.035087719,0,0,0,0,0,149,0.600806452,0.035087719,0.106666667,13.02401826,21.69703758,42.7116421,,
20480N3.cif,61.79024,34.78989,0.0618651,7942.42,15.6637,0.976074,1,0.580645161,0.362903226,0.056451613,0,0,0,0,0,1529,0.663628472,0.056451613,0.171612903,12.57417482,18.7042596,42.41925433,,
19400N3.cif,14.32155,12.10114,0.316997,5190.57,2.75347,0.972088,1,0.547169811,0.377358491,0.075471698,0,0,0,0,0,73,0.629310345,0.075471698,0.229433962,18.4647299,2.442280035,41.50626965,,
21351N2.cif,22.55319,21.73551,0.242335,3505.5,3.72121,0.960275,0,0.666666667,0.175438596,0.140350877,0,0,0,0,0,125,0.822368421,0.140350877,0.426666667,14.06867399,4.13262781,40.4115749,,
20481N3.cif,61.4236,35.99105,0.0649332,7662.28,14.9243,0.975378,1,0.577154309,0.360721443,0.056112224,0,0,0,0,0,1529,0.663628472,0.056112224,0.170581162,11.87635932,17.77222123,39.92816504,,
21353N2.cif,22.44138,21.73096,0.279365,3002.87,3.21322,0.960237,0,0.679245283,0,0.301886792,0,0,0,0,0,129,0.895833333,0.301886792,0.917735849,14.23566604,2.984261126,34.0392196,,
16251N3.cif,13.46817,12.29168,0.279806,7283.55,3.05826,0.90766,1,0.6,0.365217391,0.034782609,0,0,0,0,0,189,0.684782609,0.034782609,0.10573913,13.17404864,3.349046026,33.46841527,,
21354N2.cif,22.4453,21.72518,0.327065,2568.64,2.74593,0.960359,0,0.692307692,0,0.307692308,0,0,0,0,0,129,0.895833333,0.301886792,0.917735849,12.00399324,2.859668364,32.2050254,,
07011N3.cif,9.68318,8.50466,0.388736,5292.57,2.05414,0.870751,1,0.489795918,0.326530612,0,0.081632653,0,0,0,0.102040816,193,0.670138889,0.081632653,0.280816327,21.61111789,1.449855432,31.67854503,,
20430N3.cif,47.73625,46.90899,0.108766,7421.74,8.68798,0.958478,1,0.613065327,0.35678392,0.030150754,0,0,0,0,0,171,0.700819672,0.030150754,0.091658291,10.99018966,8.685182892,29.72172504,,
