COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,N_H2S(mol/kg),D_CH4(10^-8m2/s),P_H2S(10^4Barrer)
05001N2.cif,23.65787,23.42513,0.583969,1718.25,1.24424,0.725208,0,0.5625,0.25,0,0.125,0,0,0,0.0625,85,0.787037037,0.125,0.43,24.17384159,0.280401468,8.574185707
07000N2.cif,31.52022,31.34049,0.44676,1936.58,1.74317,0.763616,0,0.571428571,0.285714286,0,0.095238095,0,0,0,0.047619048,109,0.756944444,0.095238095,0.327619048,17.83873267,0.698521101,12.69718302
07001N2.cif,9.14896,8.56216,0.996063,1103.24,0.532637,0.492922,0,0.571428571,0.214285714,0,0.142857143,0,0,0,0.071428571,40,0.833333333,0.142857143,0.491428571,8.686714453,0.029190277,0.371854737
07002N2.cif,16.54198,16.21639,0.698051,1577.95,0.93062,0.614306,0,0.583333333,0.291666667,0,0.083333333,0,0,0,0.041666667,64,0.761904762,0.083333333,0.286666667,16.35599234,0.215423349,4.512904394
07010N3.cif,9.04156,7.98975,0.420553,5082.56,1.85732,0.860815,1,0.510204082,0.326530612,0,0.081632653,0,0,0,0.081632653,205,0.683333333,0.081632653,0.280816327,37.6994569,0.491979733,20.05521946
07011N3.cif,9.68318,8.50466,0.388736,5292.57,2.05414,0.870751,1,0.489795918,0.326530612,0,0.081632653,0,0,0,0.102040816,193,0.670138889,0.081632653,0.280816327,40.14772298,0.509114639,20.6652088
07012N3.cif,18.79873,16.12301,0.176283,6656.65,5.17815,0.946881,1,0.564705882,0.282352941,0,0.094117647,0,0,0,0.058823529,433,0.751736111,0.094117647,0.323764706,104.9949432,1.029526497,53.89224769
07013N3.cif,27.47264,19.05082,0.170478,6419.8,5.3681,0.95051,1,0.576470588,0.282352941,0,0.094117647,0,0,0,0.047058824,112,0.761904762,0.094117647,0.323764706,51.55544517,2.255289351,56.27511526
08000N3.cif,9.86844,5.40897,0.522061,4229.44,1.387,0.745136,1,0.394833948,0.442804428,0,0.088560886,0,0,0,0.073800738,189,0.441588785,0.088560886,0.304649446,24.64866374,0.329186937,9.427733998
08010N2.cif,8.38514,7.65138,0.880672,506.808,0.613373,0.287492,0,0.421052632,0.421052632,0,0.105263158,0,0,0,0.052631579,49,0.510416667,0.105263158,0.362105263,2.082596151,0.29343288,0.462134446
08011N2.cif,10.52235,9.83865,0.791326,1342.77,0.749476,0.418015,0,0.4375,0.375,0,0.125,0,0,0,0.0625,49,0.583333333,0.125,0.43,8.275773085,0.117855605,0.96365298
08012N2.cif,12.73227,12.23712,0.736984,1910.32,0.864605,0.541789,0,0.461538462,0.307692308,0,0.153846154,0,0,0,0.076923077,49,0.680555556,0.153846154,0.529230769,16.25909021,0.142163168,2.756678551
08013N2.cif,14.70932,14.32867,0.737315,1698.86,0.891478,0.645909,0,0.5,0.2,0,0.2,0,0,0,0.1,49,0.816666667,0.2,0.688,16.42907847,0.192150026,4.490478356
08020N2.cif,8.94082,8.40704,1.01943,964.211,0.49565,0.410469,0,0.571428571,0.285714286,0.142857143,0,0,0,0,0,34,0.708333333,0.142857143,0.434285714,6.847082835,0.0480234,0.410970654
08030N2.cif,28.70553,28.52404,0.524353,1737.8,1.42408,0.735575,0,0.608695652,0.260869565,0,0.086956522,0,0,0,0.043478261,133,0.791666667,0.086956522,0.299130435,14.09060432,0.74025032,12.01637552
09000N3.cif,9.35856,9.26179,0.545319,3250,1.33456,0.709376,1,0.561643836,0.383561644,0.054794521,0,0,0,0,0,105,0.640243902,0.054794521,0.166575342,23.90508671,0.122405282,3.380898663
09010N2.cif,13.70782,13.33522,0.869092,1309.91,0.651922,0.488524,0,0.571428571,0.285714286,0,0.071428571,0,0,0,0.071428571,73,0.760416667,0.071428571,0.245714286,10.47648702,0.160384235,2.130804303
10000N2.cif,10.99477,10.55911,0.904999,1253.72,0.613349,0.460299,0,0.6,0.3,0.1,0,0,0,0,0,52,0.722222222,0.1,0.304,9.523776596,0.189422767,2.244626352
10010N2.cif,16.84184,16.54632,0.790253,1345.67,0.806906,0.611998,0,0.536585366,0.219512195,0.097560976,0.097560976,1,0,0,0.048780488,67,0.761363636,0.195121951,0.632195122,14.47351941,0.242564447,5.071448273
10020N2.cif,16.6896,16.38076,0.659293,1656.97,0.979716,0.609503,0,0.615384615,0.384615385,0,0,0,0,0,0,67,0.697916667,0,0,16.59635955,0.257200499,5.123343849
11000N2.cif,17.20303,16.8085,0.560101,2651.54,1.29552,0.636035,0,0.409090909,0.409090909,0.090909091,0.090909091,1,0,0,0,49,0.453703704,0.181818182,0.589090909,21.90536908,0.276440492,6.443385945
11001N2.cif,6.13588,5.07551,0.666972,2313.77,0.990177,0.587412,0,0.409090909,0.409090909,0.090909091,0.090909091,1,0,0,0,49,0.453703704,0.181818182,0.589090909,16.55667456,0.035932663,0.696189521
11002N2.cif,32.49748,32.26851,0.347833,2598.13,2.35981,0.742915,0,0.46875,0.40625,0.0625,0.0625,1,0,0,0,97,0.538888889,0.125,0.405,12.76622004,0.960522681,9.464428842
11003N2.cif,13.67413,13.35279,0.439138,3654.62,1.76573,0.763722,0,0.46875,0.40625,0.0625,0.0625,1,0,0,0,97,0.538888889,0.125,0.405,33.99680004,0.236638255,8.058864722
11010N2.cif,12.55788,12.18247,0.904977,1261.01,0.685012,0.588265,0,0.536585366,0.146341463,0.146341463,0.097560976,1.5,0.024390244,0,0.048780488,281,0.798295455,0.240963855,0.771084337,12.3510863,0.201346729,3.954347553
11020N2.cif,15.98839,15.60159,0.572273,2199.53,1.23682,0.619224,0,0.545454545,0.363636364,0.090909091,0,0,0,0,0,46,0.638888889,0.090909091,0.276363636,20.27764758,0.179357188,3.849478907
11030N2.cif,20.45694,18.68643,0.361779,4033.4,2.24767,0.822248,0,0.566037736,0.358490566,0.075471698,0,0,0,0,0,79,0.658333333,0.075471698,0.229433962,41.7964396,0.500374691,18.58212399
11031N2.cif,26.99882,26.65939,0.281663,4459.83,3.05976,0.904565,0,0.571428571,0.301587302,0.031746032,0.063492063,0.5,0,0,0.031746032,209,0.725694444,0.095238095,0.314920635,62.41931097,0.447835941,21.27267212
11040N2.cif,41.2682,41.13741,0.336774,2293.27,2.47733,0.834731,0,0.608695652,0.260869565,0,0.086956522,0,0,0,0.043478261,133,0.791666667,0.086956522,0.299130435,18.41757082,1.087573042,16.81862283
12000N2.cif,16.14031,15.82205,0.705665,1611.76,0.9356,0.604037,0,0.5,0.333333333,0.083333333,0.083333333,1,0,0,0,46,0.638888889,0.166666667,0.54,15.71088609,0.259289226,5.186349994
12001N2.cif,13.76832,13.37953,0.779579,1546.71,0.780036,0.532104,0,0.466666667,0.4,0.066666667,0.066666667,1,0,0,0,46,0.547619048,0.133333333,0.432,13.34716422,0.212639377,3.516445578
12010N2.cif,18.71848,18.35805,0.626105,1702.75,1.1018,0.670962,0,0.549019608,0.294117647,0.039215686,0.078431373,0.5,0,0,0.039215686,321,0.716517857,0.117647059,0.389019608,20.91054237,0.241028558,6.324023083
12011N2.cif,18.72706,18.36705,0.668765,1594.81,1.02828,0.672999,0,0.554455446,0.277227723,0.03960396,0.079207921,0.5,0,0,0.03960396,329,0.734375,0.118811881,0.392871287,19.50346537,0.236952755,6.212638043
12012N2.cif,18.712,18.34894,0.667524,1603.48,1.03011,0.673584,0,0.554455446,0.277227723,0.03960396,0.079207921,0.5,0,0,0.03960396,329,0.734375,0.118811881,0.392871287,19.47685291,0.235997229,6.173037098
12020N2.cif,18.52902,18.25823,0.780161,1355.02,0.847107,0.635859,0,0.587155963,0.220183486,0.073394495,0.073394495,1,0,0,0.036697248,101,0.7890625,0.146788991,0.47559633,14.92801358,0.380546701,8.417237721
12022N2.cif,26.75925,26.564,0.545355,1784.05,1.39003,0.738904,0,0.587155963,0.220183486,0.073394495,0.073394495,1,0,0,0.036697248,101,0.7890625,0.146788991,0.47559633,20.77361014,0.438552409,10.96516939
12023N2.cif,27.1624,26.96927,0.610087,1461.73,1.20648,0.716379,0,0.563758389,0.214765101,0.080536913,0.10738255,0.75,0,0,0.026845638,131,0.779761905,0.187919463,0.614228188,14.80029753,0.600986611,11.61139532
12024N2.cif,32.24029,32.07521,0.429733,2069.12,1.84207,0.763719,0,0.589147287,0.248062016,0.062015504,0.062015504,1,0,0,0.031007752,117,0.769736842,0.124031008,0.401860465,12.44832224,1.186547865,14.4791456
12030N2.cif,19.38979,19.13887,0.654918,1632.55,1.08181,0.692989,0,0.545454545,0.181818182,0.060606061,0.121212121,0.5,0.03030303,0,0.060606061,88,0.814814815,0.181818182,0.601212121,20.77849177,0.28256809,7.959118215
12040N2.cif,18.83659,18.67205,0.719774,1484.44,0.903117,0.664182,0,0.526315789,0.315789474,0,0.105263158,0,0,0,0.052631579,85,0.708333333,0.105263158,0.362105263,17.90578994,0.177838005,4.546904898
12050N2.cif,9.50439,8.981,0.903296,1142.41,0.559396,0.448325,0,0.5,0.375,0.0625,0,0,0,0,0.0625,29.5,0.614583333,0.0625,0.19,7.660149273,0.124107107,1.149930202
12060N2.cif,16.97751,16.6418,0.777322,1389.46,0.853392,0.603699,0,0.543209877,0.197530864,0.098765432,0.098765432,1,0,0,0.049382716,273,0.775568182,0.197530864,0.64,14.92838551,0.2216288,4.637404758
12061N2.cif,16.97751,16.6418,0.775717,1392.33,0.855131,0.604658,0,0.543209877,0.197530864,0.098765432,0.098765432,1,0,0,0.049382716,273,0.775568182,0.197530864,0.64,14.92054782,0.201764239,4.2175149
12062N2.cif,16.97751,16.6418,0.771703,1399.58,0.854629,0.605706,0,0.55,0.2,0.1,0.1,1,0,0,0.05,273,0.775568182,0.197530864,0.64,14.9905178,0.238350739,4.988382567
13000N2.cif,7.65128,7.08936,1.59194,439.63,0.256304,0.293302,0,0.571428571,0,0.142857143,0,0,0,0.285714286,0,34,0.708333333,0.428571429,1.571428571,3.184468628,0.053976409,0.239716115
13010N2.cif,30.61493,30.44075,0.58509,1371.86,1.22118,0.67494,0,0.607142857,0.285714286,0,0.071428571,0,0,0,0.035714286,157,0.769607843,0.071428571,0.245714286,11.20778931,0.769637832,10.17439886
13011N2.cif,37.4441,37.29623,0.497001,1494.69,1.51786,0.717084,0,0.628571429,0.285714286,0,0.057142857,0,0,0,0.028571429,205,0.776515152,0.057142857,0.196571429,9.921258228,1.03092088,10.88764457
13012N2.cif,40.15467,40.01714,0.450916,1584.72,1.71965,0.742541,0,0.606060606,0.303030303,0,0.060606061,0,0,0,0.03030303,181,0.754166667,0.060606061,0.208484848,11.05309601,1.084720651,11.99036727
13020N2.cif,28.38023,27.93603,0.2551,4422.43,3.42814,0.911489,0,0.557692308,0.269230769,0,0.115384615,0,0,0,0.057692308,89,0.767241379,0.115384615,0.396923077,69.1316797,0.402306494,19.31570628
13040N3.cif,8.45219,8.28728,0.70169,1797.36,0.894896,0.473173,1,0.569892473,0.387096774,0.043010753,0,0,0,0,0,137,0.646226415,0.043010753,0.130752688,10.1368647,0.190639335,1.916443225
13050N2.cif,22.25156,21.99941,0.614558,1732.89,1.18567,0.69127,0,0.555555556,0.277777778,0.055555556,0.111111111,0.5,0,0,0,88,0.733333333,0.166666667,0.551111111,22.26275045,0.20466977,5.78172799
13051N2.cif,16.14031,15.82205,0.705665,1611.76,0.9356,0.606973,0,0.5,0.333333333,0.083333333,0.083333333,1,0,0,0,46,0.638888889,0.166666667,0.54,15.82035691,0.287811422,5.825145836
13060N2.cif,13.01888,12.50547,0.618866,2035.61,1.1058,0.588915,0,0.594594595,0.351351351,0.054054054,0,0,0,0,0,121,0.6875,0.054054054,0.164324324,18.38468535,0.1642665,3.28752449
13070N2.cif,21.71779,21.48075,0.626797,1652.57,1.13246,0.630622,0,0.473684211,0.263157895,0.105263158,0.157894737,0.666666667,0,0,0,73,0.675925926,0.263157895,0.863157895,19.28468361,0.395725382,9.009838415
13071N2.cif,21.64442,21.57151,0.653124,1535.97,1.0345,0.649595,0,0.5,0.4,0.05,0.05,1,0,0,0,70,0.583333333,0.1,0.324,18.75221352,0.326152949,7.75044638
13072N2.cif,22.20649,22.0541,0.595993,1754.6,1.20505,0.654426,0,0.473684211,0.368421053,0.105263158,0.052631579,2,0,0,0,61,0.564814815,0.157894737,0.501052632,20.67775323,0.317960755,7.659371289
13073N2.cif,21.41233,21.15097,0.708258,1490.85,0.979135,0.639023,0,0.473684211,0.263157895,0.105263158,0.157894737,0.666666667,0,0,0,73,0.675925926,0.263157895,0.863157895,18.04783214,0.403016464,9.832645023
13074N2.cif,20.26056,19.92909,0.545583,2161.39,1.34726,0.624615,0,0.476190476,0.380952381,0.047619048,0.095238095,0.5,0,0,0,70,0.583333333,0.142857143,0.472380952,21.67121737,0.371712014,8.19931735
