COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,S%,Halogen%,Metalloid%,Metal%,N-to-O,TDU,DUC,TE,AWE,N_CH4(mol/kg),D_CH4(10^-8 m2/s),P_CH4(10^4 Barrer)
21354N2.cif,22.4453,21.72518,0.327065,2568.64,2.74593,0.960359,0,0.692307692,0,0.307692308,0,0,0,0,0,0,129,0.895833333,0.301886792,0.917735849,1.715347872,70.89078719,114.0838687
21670N2.cif,5.85394,4.40977,0.679122,2056.1,0.997376,0.542496,0,0.5,0.071428571,0.285714286,0.142857143,0,0,0,0,2,67,0.797619048,0.428571429,1.36,0.471921648,1.36398479,0.708334374
21410N2.cif,22.50124,22.18022,0.457288,2811.55,1.65165,0.714231,0,0.471910112,0.45505618,0.039325843,0.033707865,0,0,0,0,1.166666667,168,0.5,0.073033708,0.235505618,0.948645325,14.42146133,13.34615586
21351N2.cif,22.55319,21.73551,0.242335,3505.5,3.72121,0.960275,0,0.666666667,0.175438596,0.140350877,0,0,0,0,0.01754386,0,125,0.822368421,0.140350877,0.426666667,2.211537165,74.79353351,114.9700207
21660N2.cif,7.73885,7.27798,0.973023,1368.83,0.548332,0.46244,0,0.588235294,0.235294118,0.117647059,0,0.058823529,0,0,0,0,46,0.766666667,0.117647059,0.357647059,0.530289682,5.510232381,3.927137801
21531N2.cif,10.88939,10.65465,0.963001,1297.86,0.624735,0.652104,0,0.541176471,0.376470588,0.047058824,0.035294118,0,0,0,0,1.333333333,117,0.635869565,0.081871345,0.262923977,0.788908068,3.83529697,5.67523106
21400N2.cif,27.19937,27.05362,0.412821,2377.29,1.87423,0.730464,0,0.56,0.4,0.04,0,0,0,0,0,0,106,0.630952381,0.04,0.1216,0.967385229,8.183042771,7.129998233
22000N2.cif,30.11354,30.0174,0.562012,1617.69,1.36812,0.763372,0,0.571428571,0.19047619,0.047619048,0,0,0.19047619,0,0,0,94,0.652777778,0.238095238,0.902857143,0.818817903,7.320690286,7.681317714
21480N2.cif,13.01052,12.37536,0.841932,1282.29,0.756165,0.463761,0,0.410714286,0.285714286,0.071428571,0.071428571,0,0.160714286,0,0,1,58,0.420289855,0.303571429,1.1025,0.341198913,5.921463827,2.3562562
21353N2.cif,22.44138,21.73096,0.279365,3002.87,3.21322,0.960237,0,0.679245283,0,0.301886792,0,0,0,0,0.018867925,0,129,0.895833333,0.301886792,0.917735849,2.01801844,66.9711058,108.2873142
21391N2.cif,38.85647,38.68679,0.356172,2256.46,2.29075,0.762353,0,0.482758621,0.379310345,0.068965517,0.068965517,0,0,0,0,1,97,0.577380952,0.137931034,0.446896552,1.028170198,13.51315325,11.26813789
21360N2.cif,10.60356,10.19245,0.771789,1307.54,0.785267,0.470195,0,0.406779661,0.430508475,0.122033898,0.040677966,0,0,0,0,3,96,0.4,0.162711864,0.510915254,0.486236275,2.964626507,1.562458477
