COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,S%,Halogen%,Metalloid%,Metal%,N-to-O,TDU,DUC,TE,AWE,N_H2S(mol/kg),D_H2S(10^-8 m2/s),P_H2S(10^4 Barrer)
16110N3.cif,22.72268,16.03454,0.173311,7277.76,5.23902,0.931295,1,0.463414634,0.390243902,0.048780488,0.048780488,0,0,0.048780488,0,1,64,0.561403509,0.097560976,0.316097561,94.26182086,2.160382781,98.17354694
16112N3.cif,25.15287,15.93631,0.188209,6559.23,4.81199,0.925076,1,0.463414634,0.341463415,0.048780488,0.048780488,0,0.048780488,0.048780488,0,1,64,0.561403509,0.146341463,0.510243902,94.39850553,1.204058681,59.1078447
16131N3.cif,20.9626,17.59779,0.16945,6251.06,5.45258,0.95367,1,0.612903226,0.258064516,0,0.086021505,0,0,0.043010753,0,0,541,0.790935673,0.084805654,0.291731449,111.2104099,1.076649184,57.7928221
07013N3.cif,27.47264,19.05082,0.170478,6419.8,5.3681,0.95051,1,0.576470588,0.282352941,0,0.094117647,0,0,0.047058824,0,0,112,0.761904762,0.094117647,0.323764706,51.55544517,2.255289351,56.27511526
07012N3.cif,18.79873,16.12301,0.176283,6656.65,5.17815,0.946881,1,0.564705882,0.282352941,0,0.094117647,0,0,0.058823529,0,0,433,0.751736111,0.094117647,0.323764706,104.9949432,1.029526497,53.89224769
21350N2.cif,22.22645,21.73463,0.312943,2641.26,2.8356,0.966965,0,0.666666667,0.060606061,0.242424242,0,0,0,0,0.03030303,0,77,0.875,0.242424242,0.736969697,59.45024494,0.977740066,52.53728277
21351N2.cif,22.55319,21.73551,0.242335,3505.5,3.72121,0.960275,0,0.666666667,0.175438596,0.140350877,0,0,0,0,0.01754386,0,125,0.822368421,0.140350877,0.426666667,76.06159583,0.967733458,51.16199909
19000N3.cif,19.29611,16.64848,0.207045,6282.28,4.34959,0.919865,1,0.523809524,0.380952381,0.047619048,0,0.047619048,0,0,0,0,55,0.625,0.047619048,0.144761905,85.68970109,1.005548357,49.01567423
16111N3.cif,16.20544,14.26229,0.188331,7262.56,4.78635,0.925723,1,0.463414634,0.390243902,0.048780488,0.048780488,0,0,0.048780488,0,1,253,0.554824561,0.097560976,0.316097561,96.07604768,0.950037472,47.53059834
21353N2.cif,22.44138,21.73096,0.279365,3002.87,3.21322,0.960237,0,0.679245283,0,0.301886792,0,0,0,0,0.018867925,0,129,0.895833333,0.301886792,0.917735849,67.55961942,0.832922514,45.08756462
16250N3.cif,24.43912,21.57176,0.139903,7286.11,6.63046,0.951516,1,0.6,0.365217391,0.034782609,0,0,0,0,0,0,95,0.688405797,0.034782609,0.10573913,32.72148523,3.465035775,45.08150484
21352N2.cif,22.22526,21.73638,0.269598,3103.49,3.3119,0.967703,0,0.721311475,0.131147541,0.131147541,0,0,0,0,0.016393443,0,153,0.869318182,0.131147541,0.398688525,69.98101795,0.818004474,44.60763915
16113N3.cif,16.19063,14.24492,0.209078,6621.12,4.29353,0.922396,1,0.463414634,0.341463415,0.048780488,0.048780488,0,0.048780488,0.048780488,0,1,253,0.554824561,0.146341463,0.510243902,89.06784497,0.85372552,43.80054427
20111N3.cif,12.48955,10.59437,0.220993,8236.2,4.00483,0.911316,1,0.542857143,0.380952381,0.038095238,0.038095238,0,0,0,0,1,73,0.640350877,0.076190476,0.246857143,79.45247528,0.902161912,43.1175408
21354N2.cif,22.4453,21.72518,0.327065,2568.64,2.74593,0.960359,0,0.692307692,0,0.307692308,0,0,0,0,0,0,129,0.895833333,0.301886792,0.917735849,57.8887868,0.767565756,41.68619656
21700N2.cif,19.39136,13.42722,0.223906,6360.9,3.95184,0.900475,0,0.515151515,0.375757576,0.072727273,0,0,0.024242424,0.012121212,0,0,197,0.579411765,0.096969697,0.317575758,76.83876234,0.87842952,40.64800406
15211N2.cif,23.73244,21.04675,0.309959,5270.79,2.7565,0.914725,0,0.5625,0.25,0,0.125,0,0,0.0625,0,0,169,0.782407407,0.125,0.43,56.60428033,0.826357236,39.61197153
19420N3.cif,20.52716,19.1946,0.231505,6100.21,3.80078,0.903466,1,0.555555556,0.395061728,0.049382716,0,0,0,0,0,0,225,0.625,0.049382716,0.150123457,73.89322164,0.849053673,39.1946225
21110N3.cif,23.05723,21.65583,0.215582,6769.58,4.11055,0.89893,1,0.584269663,0.348314607,0.06741573,0,0,0,0,0,0,211,0.676282051,0.06741573,0.20494382,45.77573598,1.44355973,38.24925809
17160N3.cif,21.8567,18.71003,0.165781,6688.85,5.5543,0.938093,1,0.579365079,0.349206349,0.063492063,0,0,0,0,0.007936508,0,99,0.678082192,0.063492063,0.193015873,23.93198052,3.419885437,38.01766149
15202N3.cif,13.35449,10.5223,0.257625,6511.29,3.42188,0.915341,1,0.584415584,0.25974026,0.051948052,0.103896104,0,0,0,0,0.5,69,0.766666667,0.155844156,0.515324675,71.0999709,0.756467906,37.88309053
16130N3.cif,31.72634,22.10199,0.146333,6295.71,6.37587,0.960091,1,0.612903226,0.258064516,0,0.086021505,0,0,0.043010753,0,0,136,0.795321637,0.084805654,0.291731449,41.54236326,2.167571532,37.78625605
21426N3.cif,13.74326,11.77675,0.200665,10350.6,4.41083,0.886417,1,0.569892473,0.365591398,0.064516129,0,0,0,0,0,0,35.5,0.669811321,0.064516129,0.196129032,79.11742622,0.895655217,37.64759756
20481N3.cif,61.4236,35.99105,0.0649332,7662.28,14.9243,0.975378,1,0.577154309,0.360721443,0.056112224,0,0,0,0,0.006012024,0,1529,0.663628472,0.056112224,0.170581162,20.58669008,9.488743619,36.95298718
16332N3.cif,17.51716,13.42157,0.275377,5151,3.19242,0.904039,1,0.517241379,0.275862069,0.068965517,0.137931034,0,0,0,0,0.5,85,0.708333333,0.206896552,0.684137931,65.87853218,0.751085229,36.79277265
21540N3.cif,41.14343,34.79952,0.0516319,8523.58,18.8391,0.980095,1,0.543859649,0.421052632,0.035087719,0,0,0,0,0,0,149,0.600806452,0.035087719,0.106666667,20.60433879,11.71200651,36.47462357
17162N3.cif,21.69652,18.64203,0.155274,7146.85,5.9285,0.93823,1,0.590551181,0.362204724,0.047244094,0,0,0,0,0,0,102,0.68,0.047244094,0.143622047,24.08987594,3.437293576,36.03079104
20118N3.cif,12.28917,9.84553,0.238813,8288.52,3.65081,0.893995,1,0.503875969,0.434108527,0.031007752,0.031007752,0,0,0,0,1,73,0.561538462,0.062015504,0.200930233,72.08773782,0.777859288,35.75773849
20114N3.cif,12.06451,10.07551,0.231848,8133.79,3.79041,0.905398,1,0.521367521,0.41025641,0.034188034,0.034188034,0,0,0,0,1,73,0.598360656,0.068376068,0.221538462,74.58511566,0.749561157,35.05231256
21572N3.cif,18.45979,14.75538,0.16127,8143.26,5.67867,0.937772,1,0.608695652,0.333333333,0.028985507,0,0.028985507,0,0,0,0,121,0.720238095,0.028985507,0.088115942,21.62329798,3.545310892,34.62913601
19421N3.cif,28.07964,26.28184,0.152124,6864.11,6.06215,0.941884,1,0.564356436,0.396039604,0.03960396,0,0,0,0,0,0,289,0.63377193,0.03960396,0.12039604,30.53432347,2.647164814,34.59226427
19002N3.cif,23.97998,20.28649,0.140829,7067.37,6.59524,0.942223,1,0.572815534,0.349514563,0.038834951,0,0.038834951,0,0,0,0,81,0.686440678,0.038834951,0.118058252,22.90043031,3.7695191,34.21290399
15201N3.cif,26.5708,22.37925,0.128813,6496.73,7.3044,0.958395,1,0.584415584,0.25974026,0.051948052,0.103896104,0,0,0,0,0.5,69,0.766666667,0.155844156,0.515324675,22.05639105,4.189267117,34.07150289
16061N2.cif,23.03655,18.49772,0.116104,8558.49,8.08412,0.948196,0,0.534591195,0.41509434,0.025157233,0.025157233,0,0,0,0,1,205,0.602941176,0.050314465,0.163018868,17.20564783,5.992156814,33.9011204
20430N3.cif,47.73625,46.90899,0.108766,7421.74,8.68798,0.958478,1,0.613065327,0.35678392,0.030150754,0,0,0,0,0,0,171,0.700819672,0.030150754,0.091658291,31.9955017,3.339918407,33.27473753
16251N3.cif,13.46817,12.29168,0.279806,7283.55,3.05826,0.90766,1,0.6,0.365217391,0.034782609,0,0,0,0,0,0,189,0.684782609,0.034782609,0.10573913,62.20510893,0.701979927,33.12420924
20660N2.cif,23.86923,22.83776,0.289383,6047.61,2.97219,0.900433,0,0.542372881,0.305084746,0,0.101694915,0,0,0.050847458,0,0,93,0.7265625,0.101694915,0.349830508,59.29071215,0.70881129,32.70817115
15020N2.cif,23.97144,23.07162,0.288664,5057.42,2.96102,0.88301,0,0.524590164,0.344262295,0.098360656,0.032786885,0,0,0,0,3,161,0.62890625,0.131147541,0.411803279,57.52341737,0.744125894,32.58846423
18020N3.cif,17.5734,14.36485,0.156205,8393.65,5.87985,0.931754,1,0.531914894,0.425531915,0.042553191,0,0,0,0,0,0,59,0.59,0.042553191,0.129361702,16.02898657,4.656490113,32.4470709
19400N3.cif,14.32155,12.10114,0.316997,5190.57,2.75347,0.972088,1,0.547169811,0.377358491,0.075471698,0,0,0,0,0,0,73,0.629310345,0.075471698,0.229433962,60.7542692,0.577657741,32.30149948
15021N2.cif,22.4952,21.57937,0.30371,5092.59,2.82309,0.871202,0,0.526315789,0.298245614,0.105263158,0.070175439,0,0,0,0,1.5,81,0.675,0.175438596,0.561403509,56.05051926,0.713224021,31.59352672
19003N3.cif,11.12571,8.93489,0.288804,6966.62,2.96852,0.893675,1,0.572815534,0.349514563,0.038834951,0,0.038834951,0,0,0,0,81,0.686440678,0.038834951,0.118058252,59.68596571,0.679281177,31.25497598
18143N3.cif,35.0199,30.43642,0.109984,8323.02,8.55381,0.948647,1,0.58490566,0.377358491,0.037735849,0,0,0,0,0,0,124,0.666666667,0.037735849,0.114716981,19.19366637,5.042131948,30.15927149
18142N3.cif,30.32292,27.77247,0.141689,7588.6,6.52769,0.941344,1,0.566433566,0.377622378,0.055944056,0,0,0,0,0,0,105,0.648148148,0.055944056,0.17006993,27.09252635,2.787020745,30.08075624
19020N3.cif,11.92097,8.93284,0.303867,6824.98,2.81202,0.868307,1,0.532467532,0.311688312,0.051948052,0.051948052,0,0.051948052,0,0,1,105,0.640243902,0.155844156,0.543376623,57.42810346,0.646695536,29.26818074
20116N3.cif,28.52567,23.74486,0.108902,8274.73,8.65674,0.957624,1,0.503875969,0.434108527,0.031007752,0.031007752,0,0,0,0,1,145,0.557692308,0.062015504,0.200930233,25.69314063,3.539024346,28.32345131
20113N3.cif,28.27167,24.10888,0.102519,8807.1,9.2067,0.952334,1,0.521367521,0.41025641,0.034188034,0.034188034,0,0,0,0,1,145,0.594262295,0.068376068,0.221538462,21.31233192,4.470584381,27.78455654
19401N3.cif,11.5101,7.64416,0.30788,7731.14,2.72262,0.866878,1,0.547169811,0.377358491,0.075471698,0,0,0,0,0,0,37,0.637931034,0.075471698,0.229433962,53.65474118,0.635064132,27.16312291
20110N3.cif,29.01327,24.61711,0.0960765,8726.69,9.87317,0.955869,1,0.542857143,0.380952381,0.038095238,0.038095238,0,0,0,0,1,145,0.635964912,0.076190476,0.246857143,19.85031117,4.857356883,26.44828
13170N2.cif,25.51802,24.69244,0.309017,4128.08,2.75823,0.906642,0,0.551724138,0.287356322,0.091954023,0.045977011,0,0,0.022988506,0,2,135,0.703125,0.137931034,0.437701149,40.0901963,0.766403283,25.7115522
17163N3.cif,16.30857,13.66038,0.310547,6138.54,2.70071,0.874094,1,0.590551181,0.362204724,0.047244094,0,0,0,0,0,0,203,0.676666667,0.047244094,0.143622047,53.39163542,0.559127467,24.20382916
17161N3.cif,16.46047,13.64478,0.331563,5815.1,2.53207,0.874279,1,0.579365079,0.349206349,0.063492063,0,0,0,0,0.007936508,0,197,0.674657534,0.063492063,0.193015873,50.4570095,0.551519584,24.09423289
20311N2.cif,34.43726,33.82956,0.169088,7869.73,5.35816,0.913189,0,0.565217391,0.391304348,0.043478261,0,0,0,0,0,0,100,0.641025641,0.042857143,0.130285714,35.03740325,1.478984658,23.89921245
18021N3.cif,12.96805,9.80173,0.351674,7770.16,2.35258,0.874698,1,0.531914894,0.425531915,0.042553191,0,0,0,0,0,0,59,0.59,0.042553191,0.129361702,47.18218753,0.540537752,23.43241494
20370N3.cif,12.17549,10.2871,0.325537,5830.76,2.5492,0.846398,1,0.526315789,0.421052632,0.052631579,0,0,0,0,0,0,93,0.58125,0.052631579,0.16,49.58948982,0.571178597,23.31047385
20112N3.cif,10.43778,9.58065,0.327035,8131.63,2.54535,0.87038,1,0.542857143,0.380952381,0.038095238,0.038095238,0,0,0,0,1,145,0.635964912,0.076190476,0.246857143,48.33624028,0.551024997,22.64445413
19022N3.cif,10.98008,8.27158,0.343281,6662.78,2.44721,0.860065,1,0.532467532,0.311688312,0.051948052,0.051948052,0,0.051948052,0,0,1,105,0.640243902,0.155844156,0.500779221,50.50548487,0.503898182,22.44279425
13101N2.cif,11.08993,9.40655,0.340148,6718.19,2.42142,0.873917,0,0.595744681,0.361702128,0.042553191,0,0,0,0,0,0,153,0.683035714,0.042553191,0.129361702,49.19424515,0.500579283,21.86451424
20115N3.cif,10.65907,9.7459,0.336368,8201.79,2.45083,0.862405,1,0.521367521,0.41025641,0.034188034,0.034188034,0,0,0,0,1,145,0.594262295,0.068376068,0.221538462,47.06615262,0.53474481,21.80699212
16390N2.cif,17.83727,16.65965,0.39048,3762.7,2.07759,0.858643,0,0.588235294,0.333333333,0.039215686,0,0.039215686,0,0,0,0,85,0.708333333,0.039215686,0.119215686,42.01544745,0.516575474,21.73545593
14050N3.cif,13.26023,8.62197,0.394807,5191.51,2.0066,0.853166,1,0.565217391,0.434782609,0,0,0,0,0,0,0,49,0.628205128,0,0,38.4496066,0.559276357,21.63472082
15081N2.cif,18.54616,17.48587,0.349547,4342.98,2.35562,0.849233,0,0.545454545,0.345454545,0.072727273,0.036363636,0,0,0,0,2,157,0.654166667,0.109090909,0.346181818,47.40800558,0.511475948,21.49927887
16312N2.cif,18.55352,17.47396,0.338509,4349.22,2.4472,0.853151,0,0.555555556,0.351851852,0.074074074,0.018518519,0,0,0,0,4,79,0.658333333,0.092592593,0.288888889,49.00784214,0.504157396,21.31289266
11031N2.cif,26.99882,26.65939,0.281663,4459.83,3.05976,0.904565,0,0.571428571,0.301587302,0.031746032,0.063492063,0,0,0.031746032,0,0.5,209,0.725694444,0.095238095,0.314920635,62.41931097,0.447835941,21.27267212
13160N2.cif,20.10144,19.04963,0.357515,4008.37,2.32292,0.869377,0,0.571428571,0.342857143,0.076190476,0,0,0,0,0.00952381,0,161,0.670833333,0.076190476,0.231619048,46.77877888,0.487101881,21.15366644
16450N2.cif,20.44724,18.55205,0.361779,4000.57,2.24673,0.82795,0,0.566037736,0.358490566,0.075471698,0,0,0,0,0,0,79,0.658333333,0.075471698,0.229433962,41.58392991,0.561120762,20.87583635
07011N3.cif,9.68318,8.50466,0.388736,5292.57,2.05414,0.870751,1,0.489795918,0.326530612,0,0.081632653,0,0,0.102040816,0,0,193,0.670138889,0.081632653,0.280816327,40.14772298,0.509114639,20.6652088
17000N2.cif,21.9809,21.04411,0.390254,3472.7,2.08746,0.869738,0,0.613333333,0.28,0.053333333,0.053333333,0,0,0,0,1,277,0.752717391,0.106666667,0.3456,42.87107736,0.473810272,20.59298146
21053N2.cif,20.47649,19.86472,0.352582,4021.52,2.29887,0.793313,0,0.545454545,0.404040404,0.02020202,0.03030303,0,0,0,0,0.666666667,269,0.622685185,0.050505051,0.165656566,40.83848591,0.594584339,20.28627728
20401N2.cif,16.85759,16.50094,0.377713,6049.48,2.12018,0.831551,0,0.571428571,0.380952381,0.047619048,0,0,0,0,0,0,94,0.652777778,0.047619048,0.144761905,41.30720565,0.518496803,20.09265251
07010N3.cif,9.04156,7.98975,0.420553,5082.56,1.85732,0.860815,1,0.510204082,0.326530612,0,0.081632653,0,0,0.081632653,0,0,205,0.683333333,0.081632653,0.280816327,37.6994569,0.491979733,20.05521946
15072N2.cif,18.47163,17.39082,0.351193,4360.71,2.34686,0.850178,0,0.535714286,0.357142857,0.071428571,0.035714286,0,0,0,0,2,77,0.641666667,0.107142857,0.34,47.04619079,0.475720977,19.9593793
13020N2.cif,28.38023,27.93603,0.2551,4422.43,3.42814,0.911489,0,0.557692308,0.269230769,0,0.115384615,0,0,0.057692308,0,0,89,0.767241379,0.115384615,0.396923077,69.1316797,0.402306494,19.31570628
21192N2.cif,48.33082,47.9372,0.272749,3223.21,3.25134,0.925782,0,0.46875,0.375,0.09375,0.0625,0,0,0,0,1.5,100,0.555555556,0.15625,0.5,27.33035051,0.903839778,18.63043961
11030N2.cif,20.45694,18.68643,0.361779,4033.4,2.24767,0.822248,0,0.566037736,0.358490566,0.075471698,0,0,0,0,0,0,79,0.658333333,0.075471698,0.229433962,41.7964396,0.500374691,18.58212399
22000N2.cif,30.11354,30.0174,0.562012,1617.69,1.36812,0.763372,0,0.571428571,0.19047619,0.047619048,0,0,0.19047619,0,0,0,94,0.652777778,0.238095238,0.902857143,20.835948,0.688882535,18.39309462
15090N2.cif,19.24813,18.19731,0.351937,4327.57,2.33644,0.849121,0,0.545454545,0.345454545,0.072727273,0.036363636,0,0,0,0,2,157,0.654166667,0.109090909,0.346181818,47.30914164,0.433263848,18.2955968
16280C2.cif,41.11595,41.05854,0.283668,3056.27,2.99899,0.80628,0,0.540540541,0.378378378,0.054054054,0,0,0.027027027,0,0,0,145,0.604166667,0.081081081,0.24972973,16.60258944,1.607892087,18.23658482
