,COFs_name,LCD(Å),PLD(Å),Density(g/cm3),SA(m2/g),PV(cm3/g),VF(-),ST(-),C%,H%,N%,O%,N-to-O,S%,Halogen%,Metalloid%,TDU,DUC,TE,AWE,Predicted_CH4_per(10^4 Barrer),Predicted_CO4_per(10^4 Barrer),Predicted_H2S_per(10^4 Barrer)
0,linker108_CH_linker76_N_uon_relaxed.cif,20.32033,16.83323,0.164502,7152.73,5.60407,0.948979,1,0.56,0.28,0.16,0,0,0,0,0,115,0.68452381,0.16,0.4864,40.84329296,30.161596,50.552513
1,linker99_C_linker35_C_lon_relaxed.cif,18.99381,16.28194,0.174188,7125.66,5.24617,0.948936,1,0.620689655,0.310344828,0.068965517,0,0,0,0,0,417,0.723958333,0.068965517,0.209655172,36.43694469,28.062368,49.999306
2,linker108_N_linker35_CH_qzd_relaxed.cif,16.6817,15.05448,0.169541,7512.3,5.41956,0.948478,1,0.594594595,0.297297297,0.108108108,0,0,0,0,0,373,0.706439394,0.108108108,0.328648649,35.49210816,29.20066,48.81813
3,linker108_C_linker35_C_lvt_relaxed.cif,23.68393,18.60052,0.172133,6621.85,5.32681,0.948432,1,0.64516129,0.290322581,0.064516129,0,0,0,0,0,241,0.753125,0.064516129,0.196129032,40.32354805,27.45111,44.272755
4,linker108_C_linker39_C_lvt_relaxed.cif,24.40042,19.14509,0.173955,6356.61,5.28653,0.948148,1,0.620689655,0.24137931,0.137931034,0,0,0,0,0,217,0.753472222,0.137931034,0.419310345,44.15432769,28.012045,47.3444
5,linker108_N_linker87_CH_vba_relaxed.cif,22.60058,16.4029,0.164407,7466.09,5.58712,0.948031,1,0.592592593,0.333333333,0.074074074,0,0,0,0,0,705,0.688476563,0.074074074,0.225185185,36.11300008,28.014214,46.583065
6,linker108_N_linker81_CH_ukk_relaxed.cif,20.68105,15.69332,0.170182,7272.4,5.39516,0.947659,1,0.56,0.28,0.16,0,0,0,0,0,609,0.6796875,0.16,0.4864,36.31959552,27.792374,52.95074
7,linker99_C_linker35_C_dia_relaxed.cif,20.51137,16.35241,0.174349,7202.17,5.23649,0.947643,1,0.620689655,0.310344828,0.068965517,0,0,0,0,0,209,0.725694444,0.068965517,0.209655172,36.23786815,27.918177,48.21516
8,linker99_C_linker39_C_lon_relaxed.cif,18.86886,16.95232,0.17748,6867.87,5.16859,0.947354,1,0.592592593,0.259259259,0.148148148,0,0,0,0,0,369,0.720703125,0.148148148,0.45037037,38.75834701,30.476357,48.821037
9,linker108_N_linker87_CH_uni_relaxed.cif,25.62495,24.61328,0.160524,7440.58,5.73847,0.947329,1,0.592592593,0.333333333,0.074074074,0,0,0,0,0,133,0.692708333,0.074074074,0.225185185,37.37620615,26.69044,38.465668
